spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
1,0,3355.68,0,0,315,4450,0,0,0
2,1,2970.88,0,0,315,4296,0,0,0
3,2,7609.43,0,0,315,9417,0,0,0
4,3,5655.13,0,0,315,7329,0,0,0
5,4,3943.28,0,0,315,4962,0,0,0
6,5,3619.37,0,0,315,5109,0,0,0
7,6,2491.01,0,0,315,3713,0,0,0
8,7,13320.8,0,0,315,16358,0,0,0
9,8,6733.89,0,0,315,8574,0,0,0
10,9,9027.47,0,0,315,11341,0,0,0
11,10,4400.17,0,0,315,6297,0,0,0
12,11,13715.3,0,0,315,17126,0,0,0
13,12,3863.96,0,0,315,5434,0,0,0
14,13,6705.63,0,0,315,7845,0,0,0
15,14,4633.87,0,0,315,6964,0,0,0
16,15,5803.8,0,0,315,6820,0,0,0
17,16,11179.7,0,0,315,13536,0,0,0
18,17,15307.4,0,0,315,17177,0,0,0
19,18,13839.6,0,0,315,15337,0,0,0
20,19,12904.4,0,0,315,15449,0,0,0
21,20,2100.23,0,0,315,2598,0,0,0
22,21,1837.86,0,0,315,2529,0,0,0
23,22,5575.45,0,0,315,7114,0,0,0
24,23,3915.04,0,0,315,4736,0,0,0
25,24,10953.6,0,0,315,13836,0,0,0
26,25,8965.51,0,0,315,11216,0,0,0
27,26,5437.43,0,0,315,6983,0,0,0
28,27,2943.29,0,0,315,4157,0,0,0
29,28,2373.49,0,0,315,2949,0,0,0
30,29,3380.36,0,0,315,4191,0,0,0
31,30,4254.54,0,0,315,6174,0,0,0
32,31,4246.51,0,0,315,5135,0,0,0
33,32,5159.8,0,0,315,7339,0,0,0
34,33,9080.28,0,0,315,10528,0,0,0
35,34,10892.2,0,0,315,13341,0,0,0
36,35,10661.5,0,0,315,12309,0,0,0
37,36,14453.6,0,0,315,17040,0,0,0
38,37,3031.19,0,0,315,3853,0,0,0
39,38,7466.73,0,0,315,9289,0,0,0
40,39,6547.26,0,0,315,7918,0,0,0
41,40,6763.64,0,0,315,8104,0,0,0
42,41,3421.03,0,0,315,4593,0,0,0
43,42,9452.46,0,0,315,11246,0,0,0
44,43,6196.37,0,0,315,8973,0,0,0
45,44,12954.4,0,0,315,15976,0,0,0
46,45,5078.85,0,0,315,5969,0,0,0
47,46,9165.84,0,0,315,12560,0,0,0
48,47,12006.4,0,0,315,14398,0,0,0
49,48,2467.51,0,0,315,3458,0,0,0
50,49,3731.35,0,0,315,5001,0,0,0
51,50,2897.76,0,0,315,3877,0,0,0
52,51,2635.84,0,0,315,3395,0,0,0
53,52,11624.7,0,0,315,14272,0,0,0
54,53,11895.5,0,0,315,14268,0,0,0
55,54,17578,0,0,315,19820,0,0,0
56,55,6630.12,0,0,315,7894,0,0,0
57,56,2460.47,0,0,315,3134,0,0,0
58,57,3395.31,0,0,315,4273,0,0,0
59,58,3044.59,0,0,315,4056,0,0,0
60,59,3549.07,0,0,315,5000,0,0,0
61,60,2357.11,0,0,315,3297,0,0,0
62,61,3442.56,0,0,315,4166,0,0,0
63,62,2607.38,0,0,315,3187,0,0,0
64,63,4566.3,0,0,315,6041,0,0,0
65,64,3998.97,0,0,315,5473,0,0,0
66,65,2898.71,0,0,315,3578,0,0,0
67,66,4139.48,0,0,315,5117,0,0,0
68,67,1059.05,0,0,315,1258,0,0,0
69,68,2642.91,0,0,315,3336,0,0,0
70,69,3078.93,0,0,315,3730,0,0,0
71,70,4873.64,0,0,315,6161,0,0,0
72,71,4891.92,0,0,315,7194,0,0,0
73,72,1706.16,0,0,315,2123,0,0,0
74,73,1997.35,0,0,315,2491,0,0,0
75,74,430.054,0,0,315,465,0,0,0
76,75,4478.54,0,0,315,5925,0,0,0
77,76,4500.49,0,0,315,5463,0,0,0
78,77,4430.47,0,0,315,5221,0,0,0
79,78,700.37,0,0,315,772,0,0,0
