"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,3117.77,3117,3117,0,0,0,0,0,0,0.767016,0.063,2,0.999816
2,3095.96,3095,3095,0,0,0,0,0,0,0.959746,0.077,4,0.999844
3,3097.88,3097,3097,0,0,0,0,0,0,0.880317,0.073,3,0.999844
4,3114,3114,3114,0,0,0,0,0,0,0,0,0,1
5,3110.41,3110,3110,0,0,0,0,0,0,0.405587,0.032,2,0.999905
6,3135.03,3134,3134,0,0,0,0,0,0,1.03086,0.085,3,0.999803
7,3053,3053,3053,0,0,0,0,0,0,0,0,0,1
8,3091.2,3090,3090,0,0,0,0,0,0,1.20422,0.104,4,0.999844
9,3095.99,3095,3095,0,0,0,0,0,0,0.987365,0.088,2,0.99974
10,3149.24,3148,3148,0,0,0,0,0,0,1.2439,0.108,3,0.999832
