habitat,pu,amount
mean,100,4
mean,101,4
mean,102,4
mean,103,4
mean,104,4
mean,105,4
mean,106,4
mean,107,4
mean,108,4
mean,109,4
mean,110,4
mean,111,4
mean,112,4
mean,113,4
mean,114,4
mean,115,4
mean,116,4
mean,117,4
mean,118,4
mean,119,4
mean,120,4
mean,121,4
mean,122,4
mean,123,4
mean,124,4
mean,125,4
mean,126,4
mean,127,4
mean,128,4
mean,129,4
mean,130,4
mean,131,4
mean,132,4
mean,133,4
mean,134,4
mean,135,4
mean,136,4
mean,137,4
mean,138,4
mean,139,4
mean,140,4
mean,141,4
mean,142,4
mean,143,4
mean,144,4
mean,145,4
mean,146,4
mean,147,4
mean,148,4
mean,149,4
mean,150,4
mean,151,4
mean,152,4
mean,153,4
mean,154,4
mean,155,4
mean,156,4
mean,157,4
mean,158,4
mean,159,4
mean,160,4
mean,161,4
mean,162,4
mean,163,4
mean,164,4
mean,165,4
mean,166,4
mean,167,4
mean,168,4
mean,169,4
mean,170,4
mean,171,4
mean,172,4
mean,173,4
mean,174,4
mean,175,4
mean,176,4
mean,177,4
mean,178,4
mean,179,4
mean,180,4
mean,181,4
mean,182,4
mean,183,4
mean,184,4
mean,185,4
mean,186,4
mean,187,4
mean,188,4
mean,189,4
mean,190,4
mean,191,4
mean,192,4
mean,193,4
mean,194,4
mean,195,4
mean,196,4
mean,197,4
mean,198,4
mean,199,4
mean,200,4
