data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
1,ec,45655.1327735632,0.0002387774594078,1024.0,0.0002387774594078,1024.0,9131.02655471264,9272.909148469107,0.10547944704328313
1,betcent,1328176.9999999998,0.0,38472.55624251752,0.0,38472.55624251752,265635.39999999997,544912.8444577588,1834.723382012656
2,ec,1.2490090743946443,0.0013736263736263,0.5,0.0013736263736263,0.5,0.24980181487892886,0.9403117226894553,0.047015586134472764
2,betcent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ec,22563215.169473268,0.0024213075060532,1024.0,0.0024213075060532,1024.0,4512643.033894653,8102901.239936482,34.805379757980816
3,betcent,56708.0,0.0,1374.6011249387304,0.0,1374.6011249387304,11341.6,34723.30493518137,73.56632401521476
4,ec,6958.8201398516385,0.0009066183136899,1024.0,0.0009066183136899,1024.0,1391.7640279703278,2055.418851262173,36.70390805825309
4,betcent,61.99999999999999,0.0,16.5,0.0,16.5,12.399999999999999,29.166666666666664,4.861111111111111
17,ec,2.3527206654788047,0.000209775540172,0.2689075630252096,0.000209775540172,0.2689075630252096,0.47054413309576093,0.7891569154732735,0.03945784577366367
17,betcent,20.0,0.0,6.666666666666666,0.0,6.666666666666666,4.0,11.833333333333332,3.944444444444444
19,ec,4874.003320814763,0.007582938388624,2.0,0.007582938388624,2.0,974.8006641629527,1729.0424715710071,0.0352419891478335
19,betcent,158566.00000000003,0.0,27106.050746590063,0.0,27106.050746590063,31713.200000000008,85213.50448917963,383.8446148161245
20,ec,19459.301250987628,0.0013373453694416,2.0,0.0013373453694416,2.0,3891.8602501975256,4918.90457974954,0.12236081044153085
20,betcent,32738.0,0.0,1547.6434688802444,0.0,1547.6434688802444,6547.6,17510.170510910888,87.11527617368601
