features,total,target,reached,coco overshot,,mc reached,mc overshot,coco-mc
1,791380000,158276000,333530000,175254000,,238720000,80444000,94810000
2,174080000,34816000,43400000,8584000,,51100000,16284000,-7700000
3,17130000,3426000,4900000,1474000,,9220000,5794000,-4320000
4,14580000,2916000,5330000,2414000,,3220000,304000,2110000
5,17260000,3452000,6510000,3058000,,6290000,2838000,220000
6,109690000,21938000,22070000,132000,,25010000,3072000,-2940000
7,1415230000,283046000,587270000,304224000,,573090000,290044000,14180000
8,1558630000,311726000,377300000,65574000,,314640000,2914000,62660000
9,15270000,3054000,7170000,4116000,,6170000,3116000,1000000
10,10000,2000,10000,8000,,10000,8000,0
11,10000,2000,10000,8000,,10000,8000,0
12,40000,8000,20000,12000,,10000,2000,10000
13,70000,14000,20000,6000,,20000,6000,0
14,170000,34000,80000,46000,,70000,36000,10000
15,110000,22000,40000,18000,,40000,18000,0
16,10000,2000,10000,8000,,10000,8000,0
17,150000,30000,30000,0,,30000,0,0
18,30000,6000,30000,24000,,30000,24000,0
19,80000,16000,20000,4000,,30000,14000,-10000
20,20000,4000,20000,16000,,20000,16000,0
21,252.1529,50.430578,50.9233,0.492722000000001,,50.7665,0.335922000000004,0.156799999999997
22,470.7488,94.14976,94.2627,0.112939999999995,,95.0122,0.862440000000007,-0.749500000000012
23,1113.857,222.77106,222.854,0.0829400000000078,,226.881,4.10993999999999,-4.02699999999999
24,2086.27,417.25368,423.576,6.32231999999999,,423.178,5.92432000000002,0.397999999999968
25,839.606,167.9213,176.878,8.95670000000001,,168.378,0.456699999999984,8.50000000000003
,,,1387770968.494,564980015.967622,,1227740964.2157,404950011.689322,160030004.2783
,,,,,,,,
,,,160030004.2783,,13.0345088208839,,,
,,,,,,,,
,,,,1434950967,207210002.7843,16.8773388543461,,
